2cas;4cas;7cas;9cas;13cas;18cas;21cas;23cas;26cas;28cas;33cas;36cas;39cas;41cas;43cas;50cas;52cas;54cas;57cas;59cas;63cas;68cas;71cas;73cas;76cas;78cas;83cas;86cas;89cas;91cas;93cas;100cas
18735;64798;11687;10208;10768;7232;34767;13927;12504;3912;7200;38798;5560;4336;5361;14479;6168;7976;14200;14039;6943;8760;8504;7928;4160;4648;4679;1640;6192;4184;4367;5727
1792;38614;3840;3528;2688;4248;3232;2600;8032;1657;2016;2559;2064;2496;1736;1193;2120;1688;1968;1359;2864;2992;2040;2240;2096;4272;1312;1400;3199;1839;1792;2383
28103;9624;7823;33526;21095;4664;3096;3912;12104;3479;3647;2600;18655;3024;12063;2599;2952;4496;3776;3864;11831;2640;3344;5551;7176;3783;2792;2991;1504;2205;3751;1904
9420;8081;4833;4975;1904;7592;7151;13391;3344;7022;3151;3313;7080;12944;12513;3122;11127;2481;5616;1911;30511;3016;2710;3241;3906;3144;6592;9385;3832;1843;3294;1973
24196;10776;14857;19976;11871;13531;7039;11967;9016;7374;6316;18365;8190;8810;16047;7055;4992;14857;4746;7316;6056;4055;3135;3047;3530;2366;9237;17864;28293;9049;2476;10309
8080;7047;5672;7128;15984;5240;7272;3160;4256;3336;1824;3312;3376;2320;4247;6096;5623;2208;6480;2152;4456;1952;3104;3008;1496;2368;1472;2847;1928;1744;2104;3504
27824;20227;8768;21023;12911;35047;25794;13546;6158;18506;11021;3618;12355;6160;9112;17569;5392;10477;6333;12058;7317;4692;3969;5382;13137;2483;6610;5635;4044;4709;4672;2431
16407;17647;54414;36559;11320;24295;9800;18719;6032;5416;5904;5240;5127;17544;3680;4318;8002;5319;5304;18127;5126;20768;8293;5200;11186;16256;9192;7991;1969;4630;2257;11072
13214;4856;7192;8152;14974;4712;3999;3743;7488;9911;5855;8559;16950;3600;4904;3399;6048;2304;6216;7615;4640;5520;3048;2864;3960;5408;3392;3656;2080;4344;2984;1416
2064;2064;1464;1152;3456;2424;2208;5312;3720;3104;5414;3648;11807;1960;1520;4720;3347;1632;4743;3369;3080;1936;6752;4455;2064;4880;2279;2968;2351;1848;2856;2496
10535;3415;2544;6007;5160;4480;16199;15239;6703;2384;8167;6439;2456;7183;4336;3687;3632;3304;9840;4464;6352;4968;3352;2704;12575;5215;22038;3056;17513;4088;6607;7615
5703;5616;27936;3721;3760;4016;3368;2392;3711;3424;2392;2640;1952;1920;2471;6143;5280;4064;5823;18103;2344;2728;2480;2408;3664;2952;2392;2616;2280;3712;2272;1704
17702;8047;16631;13056;16775;22782;8856;4960;10063;6775;5375;6879;6536;5895;4231;4112;8047;3983;4480;27918;7671;14384;4872;3928;3000;3383;2511;3432;3143;5384;3680;2648
6863;10472;18047;5912;6671;4096;3224;2560;3816;14031;2624;2663;9687;2304;6407;9543;3144;2688;5352;8624;6799;9064;2488;2994;9936;3280;2968;2103;4200;3008;7472;2384
7015;2328;2496;10543;2960;2984;4239;17639;2111;2160;3056;1344;4960;14791;1816;7783;5152;3176;19902;840;1200;2480;6704;1088;2760;6928;2367;6024;3343;8871;688;888
3128;4512;2463;6384;9688;9656;3352;5119;4487;6528;2904;2600;3416;2976;2400;3256;2808;1983;6848;5527;7927;9184;2728;3152;3057;4040;1912;2880;2704;1760;3487;2303
2272;1400;1544;1208;1152;2073;1288;1896;1336;1208;1336;2688;1160;1608;1296;1169;1607;1208;1392;1360;1400;1784;1096;1072;1592;1208;912;1144;1736;1280;1512;1104
2592;2976;4080;2976;1440;1456;1200;5032;1520;3280;1248;2616;1024;1752;2008;1896;2640;1656;964;1928;2320;4064;5464;1800;2384;1553;1560;2120;1664;1696;1752;1664
20624;19322;17344;26911;24063;22863;25135;87829;15255;26055;16463;11336;12783;10056;10400;9376;10608;7360;9640;11879;25311;22087;10288;9247;8584;7208;9759;5640;5904;8968;5615;6080
26359;6799;4376;6664;8696;3736;8239;5904;2728;2800;1608;2976;4960;2920;1528;3191;2512;2640;3560;10072;3184;6031;3399;2328;2896;1840;5216;3816;3591;2232;2200;2936
19487;16751;13551;10432;14479;8079;3599;5368;12168;3200;4296;6480;4832;3392;2976;8687;7648;4712;8511;16103;11671;2312;6200;3800;10143;5232;7456;9008;11879;4400;2336;4880
16287;12879;8888;10064;6175;23166;7519;6120;8208;19039;8896;6368;28758;5007;4216;5016;6968;4367;4288;4984;9952;9839;10671;4464;13655;9488;3144;4832;6903;3000;5384;5399
10319;6719;12614;14756;4807;9206;9813;8191;11029;9590;5039;9542;5463;9670;5439;6073;5288;4920;9983;5088;4951;8159;9335;4976;10111;5799;10392;6399;7727;4775;4160;6944
