2cas;4cas;7cas;9cas;13cas;18cas;21cas;23cas;26cas;28cas;33cas;36cas;39cas;41cas;43cas;50cas;52cas;54cas;57cas;59cas;63cas;68cas;71cas;73cas;76cas;78cas;83cas;86cas;89cas;91cas;93cas;100cas
15431;11847;10887;3535;3000;5959;6223;8008;14367;4144;11207;4984;3520;3601;12407;4671;7576;3904;3424;13374;11352;3784;3696;3032;3176;2512;4480;2800;5176;5568;2784;4751
4047;6504;1880;4511;3104;1640;1456;1792;3360;1848;1960;5352;1264;624;1455;1184;944;1720;1240;1512;7151;1623;1552;1352;1407;1040;920;2952;1804;983;1208;1800
5088;1064;2320;2024;5367;2128;1456;3184;2216;2608;2288;3256;3168;4024;1200;1975;2176;4368;2440;2120;3768;1600;2488;1464;2376;1304;1192;2720;2264;2112;2336;2352
10240;6592;7880;12079;7263;6144;7647;5960;7440;10295;4120;4207;4248;3808;3832;11056;8711;13720;6576;8416;5168;3584;5360;2759;2952;3984;5895;2672;4528;3056;7248;2608
11061;9567;6944;7601;10143;13753;6304;5065;5497;6802;7109;4985;7078;8470;1826;8031;11801;7053;4640;4470;7184;5886;5688;9670;5151;5998;5482;4675;6295;3528;3207;4258
2056;2112;3512;1528;1488;1496;5223;2128;2088;2864;2168;1112;2560;1512;1776;2591;1096;2136;1704;1448;2000;1288;2632;2264;1424;2120;1064;1057;1424;1936;1184;1280
18127;14631;8023;6343;3704;4871;5543;4696;2320;4087;8912;4712;4063;3552;3072;3423;9328;13927;4288;7463;6191;2576;8216;5511;2248;2408;2888;4240;1988;9264;2255;6456
51150;18328;9944;21767;14351;7129;14311;9751;12064;4848;6492;6608;4792;4438;9864;3929;9625;4055;4047;9353;5736;6931;11576;7878;6911;3023;9784;3168;6056;2016;4472;3648
12224;8031;7688;30007;8328;5896;3432;4456;2503;2856;1864;7264;4391;6376;1448;1672;3392;1680;1799;16327;3888;46119;2248;1640;1335;1640;2008;1656;2040;1952;2024;1472
17397;10031;49545;7263;12174;9830;14942;6743;9503;16887;7759;37333;8719;7975;7471;6100;13759;5400;9720;6336;9800;4152;4984;7263;62773;14351;10247;10775;11832;6656;10064;4344
22838;15959;12952;8112;9727;7992;6743;6720;6383;7231;8904;36551;5752;4479;6016;3456;6287;17008;27111;13344;1808;4312;3839;2216;4032;2231;3095;4944;4391;6696;3000;1976
2320;920;2128;3176;5680;2336;1448;2680;1216;1000;920;824;1032;928;1528;880;2152;1272;1688;1882;1208;1000;1632;784;1160;1080;728;936;848;804;1144;872
